author,sentence
Jane Austen,"Elinor had not needed this to be assured of the injustice to which her sister was often led in her opinion of others, by the irritable refinement of her own mind, and the too great importance placed by her on the delicacies of a strong sensibility, and the graces of a polished manner. Like half the rest of the world, if more than half there be that are clever and good, Marianne, with excellent abilities and an excellent disposition, was neither reasonable nor candid. She expected from other people the same opinions and feelings as her own, and she judged of their motives by the immediate effect of their actions on herself. Thus a circumstance occurred, while the sisters were together in their own room after breakfast, which sunk the heart of Mrs. Jennings still lower in her estimation; because, through her own weakness, it chanced to prove a source of fresh pain to herself, though Mrs. Jennings was governed in it by an impulse of the utmost goodwill."
Jane Austen,"“The first news that reached me of her,” he continued, “came in a letter from herself, last October. It was forwarded to me from Delaford, and I received it on the very morning of our intended party to Whitwell; and this was the reason of my leaving Barton so suddenly, which I am sure must at the time have appeared strange to every body, and which I believe gave offence to some. Little did Mr. Willoughby imagine, I suppose, when his looks censured me for incivility in breaking up the party, that I was called away to the relief of one whom he had made poor and miserable; but _had_ he known it, what would it have availed? Would he have been less gay or less happy in the smiles of your sister? No, he had already done that, which no man who _can_ feel for another would do. He had left the girl whose youth and innocence he had seduced, in a situation of the utmost distress, with no creditable home, no help, no friends, ignorant of his address! He had left her, promising to return; he neither returned, nor wrote, nor relieved her.”"
Jane Austen,"Against the interest of her own individual comfort, Mrs. Dashwood had determined that it would be better for Marianne to be any where, at that time, than at Barton, where every thing within her view would be bringing back the past in the strongest and most afflicting manner, by constantly placing Willoughby before her, such as she had always seen him there. She recommended it to her daughters, therefore, by all means not to shorten their visit to Mrs. Jennings; the length of which, though never exactly fixed, had been expected by all to comprise at least five or six weeks. A variety of occupations, of objects, and of company, which could not be procured at Barton, would be inevitable there, and might yet, she hoped, cheat Marianne, at times, into some interest beyond herself, and even into some amusement, much as the ideas of both might now be spurned by her."
Jane Austen,"Colonel Brandon’s delicate, unobtrusive enquiries were never unwelcome to Miss Dashwood. He had abundantly earned the privilege of intimate discussion of her sister’s disappointment, by the friendly zeal with which he had endeavoured to soften it, and they always conversed with confidence. His chief reward for the painful exertion of disclosing past sorrows and present humiliations, was given in the pitying eye with which Marianne sometimes observed him, and the gentleness of her voice whenever (though it did not often happen) she was obliged, or could oblige herself to speak to him. _These_ assured him that his exertion had produced an increase of good-will towards himself, and _these_ gave Elinor hopes of its being farther augmented hereafter; but Mrs. Jennings, who knew nothing of all this, who knew only that the Colonel continued as grave as ever, and that she could neither prevail on him to make the offer himself, nor commission her to make it for him, began, at the end of two days, to think that, instead of Midsummer, they would not be married till Michaelmas, and by the end of a week that it would not be a match at all. The good understanding between the Colonel and Miss Dashwood seemed rather to declare that the honours of the mulberry-tree, the canal, and the yew arbour, would all be made over to _her;_ and Mrs. Jennings had, for some time ceased to think at all of Mrs. Ferrars."
Jane Austen,"On ascending the stairs, the Miss Dashwoods found so many people before them in the room, that there was not a person at liberty to tend to their orders; and they were obliged to wait. All that could be done was, to sit down at that end of the counter which seemed to promise the quickest succession; one gentleman only was standing there, and it is probable that Elinor was not without hope of exciting his politeness to a quicker despatch. But the correctness of his eye, and the delicacy of his taste, proved to be beyond his politeness. He was giving orders for a toothpick-case for himself, and till its size, shape, and ornaments were determined, all of which, after examining and debating for a quarter of an hour over every toothpick-case in the shop, were finally arranged by his own inventive fancy, he had no leisure to bestow any other attention on the two ladies, than what was comprised in three or four very broad stares; a kind of notice which served to imprint on Elinor the remembrance of a person and face, of strong, natural, sterling insignificance, though adorned in the first style of fashion."
Jane Austen,"“I wished very much to call upon you yesterday,” said he, “but it was impossible, for we were obliged to take Harry to see the wild beasts at Exeter Exchange; and we spent the rest of the day with Mrs. Ferrars. Harry was vastly pleased. _This_ morning I had fully intended to call on you, if I could possibly find a spare half hour, but one has always so much to do on first coming to town. I am come here to bespeak Fanny a seal. But tomorrow I think I shall certainly be able to call in Berkeley Street, and be introduced to your friend Mrs. Jennings. I understand she is a woman of very good fortune. And the Middletons too, you must introduce me to _them_. As my mother-in-law’s relations, I shall be happy to show them every respect. They are excellent neighbours to you in the country, I understand.”"
Jane Austen,"“You are mistaken, Elinor; you are very much mistaken. A very little trouble on your side secures him. Perhaps just at present he may be undecided; the smallness of your fortune may make him hang back; his friends may all advise him against it. But some of those little attentions and encouragements which ladies can so easily give will fix him, in spite of himself. And there can be no reason why you should not try for him. It is not to be supposed that any prior attachment on your side—in short, you know as to an attachment of that kind, it is quite out of the question, the objections are insurmountable—you have too much sense not to see all that. Colonel Brandon must be the man; and no civility shall be wanting on my part to make him pleased with you and your family. It is a match that must give universal satisfaction. In short, it is a kind of thing that”—lowering his voice to an important whisper—“will be exceedingly welcome to _all parties_.” Recollecting himself, however, he added, “That is, I mean to say—your friends are all truly anxious to see you well settled; Fanny particularly, for she has your interest very much at heart, I assure you. And her mother too, Mrs. Ferrars, a very good-natured woman, I am sure it would give her great pleasure; she said as much the other day.”"
Jane Austen,"“It is not actually settled, but there is such a thing in agitation. He has a most excellent mother. Mrs. Ferrars, with the utmost liberality, will come forward, and settle on him a thousand a year, if the match takes place. The lady is the Hon. Miss Morton, only daughter of the late Lord Morton, with thirty thousand pounds. A very desirable connection on both sides, and I have not a doubt of its taking place in time. A thousand a-year is a great deal for a mother to give away, to make over for ever; but Mrs. Ferrars has a noble spirit. To give you another instance of her liberality:—The other day, as soon as we came to town, aware that money could not be very plenty with us just now, she put bank-notes into Fanny’s hands to the amount of two hundred pounds. And extremely acceptable it is, for we must live at a great expense while we are here.”"
Jane Austen,"“I am sorry for that. At her time of life, any thing of an illness destroys the bloom for ever! Hers has been a very short one! She was as handsome a girl last September, as I ever saw; and as likely to attract the man. There was something in her style of beauty, to please them particularly. I remember Fanny used to say that she would marry sooner and better than you did; not but what she is exceedingly fond of _you_, but so it happened to strike her. She will be mistaken, however. I question whether Marianne _now_, will marry a man worth more than five or six hundred a-year, at the utmost, and I am very much deceived if _you_ do not do better. Dorsetshire! I know very little of Dorsetshire; but, my dear Elinor, I shall be exceedingly glad to know more of it; and I think I can answer for your having Fanny and myself among the earliest and best pleased of your visitors.”"
Jane Austen,"Elinor wanted very much to know, though she did not chuse to ask, whether Edward was then in town; but nothing would have induced Fanny voluntarily to mention his name before her, till able to tell her that his marriage with Miss Morton was resolved on, or till her husband’s expectations on Colonel Brandon were answered; because she believed them still so very much attached to each other, that they could not be too sedulously divided in word and deed on every occasion. The intelligence however, which _she_ would not give, soon flowed from another quarter. Lucy came very shortly to claim Elinor’s compassion on being unable to see Edward, though he had arrived in town with Mr. and Mrs. Dashwood. He dared not come to Bartlett’s Buildings for fear of detection, and though their mutual impatience to meet, was not to be told, they could do nothing at present but write."
Jane Austen,"The Dashwoods were so prodigiously delighted with the Middletons, that, though not much in the habit of giving anything, they determined to give them—a dinner; and soon after their acquaintance began, invited them to dine in Harley Street, where they had taken a very good house for three months. Their sisters and Mrs. Jennings were invited likewise, and John Dashwood was careful to secure Colonel Brandon, who, always glad to be where the Miss Dashwoods were, received his eager civilities with some surprise, but much more pleasure. They were to meet Mrs. Ferrars; but Elinor could not learn whether her sons were to be of the party. The expectation of seeing _her_, however, was enough to make her interested in the engagement; for though she could now meet Edward’s mother without that strong anxiety which had once promised to attend such an introduction, though she could now see her with perfect indifference as to her opinion of herself, her desire of being in company with Mrs. Ferrars, her curiosity to know what she was like, was as lively as ever."
Jane Austen,"Elinor could not _now_ be made unhappy by this behaviour. A few months ago it would have hurt her exceedingly; but it was not in Mrs. Ferrars’ power to distress her by it now; and the difference of her manners to the Miss Steeles, a difference which seemed purposely made to humble her more, only amused her. She could not but smile to see the graciousness of both mother and daughter towards the very person—for Lucy was particularly distinguished—whom of all others, had they known as much as she did, they would have been most anxious to mortify; while she herself, who had comparatively no power to wound them, sat pointedly slighted by both. But while she smiled at a graciousness so misapplied, she could not reflect on the mean-spirited folly from which it sprung, nor observe the studied attentions with which the Miss Steeles courted its continuance, without thoroughly despising them all four."
Jane Austen,"The dinner was a grand one, the servants were numerous, and every thing bespoke the Mistress’s inclination for show, and the Master’s ability to support it. In spite of the improvements and additions which were making to the Norland estate, and in spite of its owner having once been within some thousand pounds of being obliged to sell out at a loss, nothing gave any symptom of that indigence which he had tried to infer from it;—no poverty of any kind, except of conversation, appeared—but there, the deficiency was considerable. John Dashwood had not much to say for himself that was worth hearing, and his wife had still less. But there was no peculiar disgrace in this; for it was very much the case with the chief of their visitors, who almost all laboured under one or other of these disqualifications for being agreeable—Want of sense, either natural or improved—want of elegance—want of spirits—or want of temper."
Jane Austen,"Their presence was a restraint both on her and on Lucy. It checked the idleness of one, and the business of the other. Lady Middleton was ashamed of doing nothing before them, and the flattery which Lucy was proud to think of and administer at other times, she feared they would despise her for offering. Miss Steele was the least discomposed of the three, by their presence; and it was in their power to reconcile her to it entirely. Would either of them only have given her a full and minute account of the whole affair between Marianne and Mr. Willoughby, she would have thought herself amply rewarded for the sacrifice of the best place by the fire after dinner, which their arrival occasioned. But this conciliation was not granted; for though she often threw out expressions of pity for her sister to Elinor, and more than once dropt a reflection on the inconstancy of beaux before Marianne, no effect was produced, but a look of indifference from the former, or of disgust in the latter. An effort even yet lighter might have made her their friend. Would they only have laughed at her about the Doctor! But so little were they, any more than the others, inclined to oblige her, that if Sir John dined from home, she might spend a whole day without hearing any other raillery on the subject, than what she was kind enough to bestow on herself."
Jane Austen,"All these jealousies and discontents, however, were so totally unsuspected by Mrs. Jennings, that she thought it a delightful thing for the girls to be together; and generally congratulated her young friends every night, on having escaped the company of a stupid old woman so long. She joined them sometimes at Sir John’s, sometimes at her own house; but wherever it was, she always came in excellent spirits, full of delight and importance, attributing Charlotte’s well doing to her own care, and ready to give so exact, so minute a detail of her situation, as only Miss Steele had curiosity enough to desire. One thing _did_ disturb her; and of that she made her daily complaint. Mr. Palmer maintained the common, but unfatherly opinion among his sex, of all infants being alike; and though she could plainly perceive, at different times, the most striking resemblance between this baby and every one of his relations on both sides, there was no convincing his father of it; no persuading him to believe that it was not exactly like every other baby of the same age; nor could he even be brought to acknowledge the simple proposition of its being the finest child in the world."
Jane Austen,"To her dress and appearance she was grown so perfectly indifferent, as not to bestow half the consideration on it, during the whole of her toilet, which it received from Miss Steele in the first five minutes of their being together, when it was finished. Nothing escaped _her_ minute observation and general curiosity; she saw every thing, and asked every thing; was never easy till she knew the price of every part of Marianne’s dress; could have guessed the number of her gowns altogether with better judgment than Marianne herself, and was not without hopes of finding out before they parted, how much her washing cost per week, and how much she had every year to spend upon herself. The impertinence of these kind of scrutinies, moreover, was generally concluded with a compliment, which though meant as its douceur, was considered by Marianne as the greatest impertinence of all; for after undergoing an examination into the value and make of her gown, the colour of her shoes, and the arrangement of her hair, she was almost sure of being told that upon “her word she looked vastly smart, and she dared to say she would make a great many conquests.”"
Jane Austen,"He addressed her with easy civility, and twisted his head into a bow which assured her as plainly as words could have done, that he was exactly the coxcomb she had heard him described to be by Lucy. Happy had it been for her, if her regard for Edward had depended less on his own merit, than on the merit of his nearest relations! For then his brother’s bow must have given the finishing stroke to what the ill-humour of his mother and sister would have begun. But while she wondered at the difference of the two young men, she did not find that the emptiness and conceit of the one, put her out of all charity with the modesty and worth of the other. Why they _were_ different, Robert explained to her himself in the course of a quarter of an hour’s conversation; for, talking of his brother, and lamenting the extreme _gaucherie_ which he really believed kept him from mixing in proper society, he candidly and generously attributed it much less to any natural deficiency, than to the misfortune of a private education; while he himself, though probably without any particular, any material superiority by nature, merely from the advantage of a public school, was as well fitted to mix in the world as any other man."
Jane Austen,"“For my own part,” said he, “I am excessively fond of a cottage; there is always so much comfort, so much elegance about them. And I protest, if I had any money to spare, I should buy a little land and build one myself, within a short distance of London, where I might drive myself down at any time, and collect a few friends about me, and be happy. I advise every body who is going to build, to build a cottage. My friend Lord Courtland came to me the other day on purpose to ask my advice, and laid before me three different plans of Bonomi’s. I was to decide on the best of them. ‘My dear Courtland,’ said I, immediately throwing them all into the fire, ‘do not adopt either of them, but by all means build a cottage.’ And that I fancy, will be the end of it."
Jane Austen,"“Some people imagine that there can be no accommodations, no space in a cottage; but this is all a mistake. I was last month at my friend Elliott’s, near Dartford. Lady Elliott wished to give a dance. ‘But how can it be done?’ said she; ‘my dear Ferrars, do tell me how it is to be managed. There is not a room in this cottage that will hold ten couple, and where can the supper be?’ _I_ immediately saw that there could be no difficulty in it, so I said, ‘My dear Lady Elliott, do not be uneasy. The dining parlour will admit eighteen couple with ease; card-tables may be placed in the drawing-room; the library may be open for tea and other refreshments; and let the supper be set out in the saloon.’ Lady Elliott was delighted with the thought. We measured the dining-room, and found it would hold exactly eighteen couple, and the affair was arranged precisely after my plan. So that, in fact, you see, if people do but know how to set about it, every comfort may be as well enjoyed in a cottage as in the most spacious dwelling.”"
Jane Austen,"“Something so strange! But you shall hear it all. When I got to Mr. Palmer’s, I found Charlotte quite in a fuss about the child. She was sure it was very ill—it cried, and fretted, and was all over pimples. So I looked at it directly, and, ‘Lord! my dear,’ says I, ‘it is nothing in the world, but the red gum;’ and nurse said just the same. But Charlotte, she would not be satisfied, so Mr. Donavan was sent for; and luckily he happened to just come in from Harley Street, so he stepped over directly, and as soon as ever he saw the child, he said just as we did, that it was nothing in the world but the red gum, and then Charlotte was easy. And so, just as he was going away again, it came into my head, I am sure I do not know how I happened to think of it, but it came into my head to ask him if there was any news. So upon that, he smirked, and simpered, and looked grave, and seemed to know something or other, and at last he said in a whisper, ‘For fear any unpleasant report should reach the young ladies under your care as to their sister’s indisposition, I think it advisable to say, that I believe there is no great reason for alarm; I hope Mrs. Dashwood will do very well.’”"
Jane Austen,"“Yes. But I did not love only him; and while the comfort of others was dear to me, I was glad to spare them from knowing how much I felt. Now, I can think and speak of it with little emotion. I would not have you suffer on my account; for I assure you I no longer suffer materially myself. I have many things to support me. I am not conscious of having provoked the disappointment by any imprudence of my own, I have borne it as much as possible without spreading it farther. I acquit Edward of essential misconduct. I wish him very happy; and I am so sure of his always doing his duty, that though now he may harbour some regret, in the end he must become so. Lucy does not want sense, and that is the foundation on which every thing good may be built. And after all, Marianne, after all that is bewitching in the idea of a single and constant attachment, and all that can be said of one’s happiness depending entirely on any particular person, it is not meant—it is not fit—it is not possible that it should be so. Edward will marry Lucy; he will marry a woman superior in person and understanding to half her sex; and time and habit will teach him to forget that he ever thought another superior to _her_.”"
Jane Austen,"“Your sister,” he continued, “has suffered dreadfully. Mrs. Ferrars too—in short it has been a scene of such complicated distress—but I will hope that the storm may be weathered without our being any of us quite overcome. Poor Fanny! she was in hysterics all yesterday. But I would not alarm you too much. Donavan says there is nothing materially to be apprehended; her constitution is a good one, and her resolution equal to any thing. She has borne it all, with the fortitude of an angel! She says she never shall think well of anybody again; and one cannot wonder at it, after being so deceived!—meeting with such ingratitude, where so much kindness had been shown, so much confidence had been placed! It was quite out of the benevolence of her heart, that she had asked these young women to her house; merely because she thought they deserved some attention, were harmless, well-behaved girls, and would be pleasant companions; for otherwise we both wished very much to have invited you and Marianne to be with us, while your kind friend there, was attending her daughter. And now to be so rewarded! ‘I wish, with all my heart,’ says poor Fanny in her affectionate way, ‘that we had asked your sisters instead of them.’”"
Jane Austen,"Mrs. Jennings was very warm in her praise of Edward’s conduct, but only Elinor and Marianne understood its true merit. _They_ only knew how little he had had to tempt him to be disobedient, and how small was the consolation, beyond the consciousness of doing right, that could remain to him in the loss of friends and fortune. Elinor gloried in his integrity; and Marianne forgave all his offences in compassion for his punishment. But though confidence between them was, by this public discovery, restored to its proper state, it was not a subject on which either of them were fond of dwelling when alone. Elinor avoided it upon principle, as tending to fix still more upon her thoughts, by the too warm, too positive assurances of Marianne, that belief of Edward’s continued affection for herself which she rather wished to do away; and Marianne’s courage soon failed her, in trying to converse upon a topic which always left her more dissatisfied with herself than ever, by the comparison it necessarily produced between Elinor’s conduct and her own."
Jane Austen,"“I am monstrous glad of it. Good gracious! I have had such a time of it! I never saw Lucy in such a rage in my life. She vowed at first she would never trim me up a new bonnet, nor do any thing else for me again, so long as she lived; but now she is quite come to, and we are as good friends as ever. Look, she made me this bow to my hat, and put in the feather last night. There now, _you_ are going to laugh at me too. But why should not I wear pink ribbons? I do not care if it _is_ the Doctor’s favourite colour. I am sure, for my part, I should never have known he _did_ like it better than any other colour, if he had not happened to say so. My cousins have been so plaguing me! I declare sometimes I do not know which way to look before them.”"
Jane Austen,"“Edward talks of going to Oxford soon,” said she; “but now he is lodging at No.—, Pall Mall. What an ill-natured woman his mother is, an’t she? And your brother and sister were not very kind! However, I shan’t say anything against them to _you;_ and to be sure they did send us home in their own chariot, which was more than I looked for. And for my part, I was all in a fright for fear your sister should ask us for the huswifes she had gave us a day or two before; but, however, nothing was said about them, and I took care to keep mine out of sight. Edward have got some business at Oxford, he says; so he must go there for a time; and after _that_, as soon as he can light upon a Bishop, he will be ordained. I wonder what curacy he will get! Good gracious! (giggling as she spoke) I’d lay my life I know what my cousins will say, when they hear of it. They will tell me I should write to the Doctor, to get Edward the curacy of his new living. I know they will; but I am sure I would not do such a thing for all the world. ‘La!’ I shall say directly, ‘I wonder how you could think of such a thing? _I_ write to the Doctor, indeed!’”"
Jane Austen,"“Oh, la! here come the Richardsons. I had a vast deal more to say to you, but I must not stay away from them not any longer. I assure you they are very genteel people. He makes a monstrous deal of money, and they keep their own coach. I have not time to speak to Mrs. Jennings about it myself, but pray tell her I am quite happy to hear she is not in anger against us, and Lady Middleton the same; and if anything should happen to take you and your sister away, and Mrs. Jennings should want company, I am sure we should be very glad to come and stay with her for as long a time as she likes. I suppose Lady Middleton won’t ask us any more this bout. Good-by; I am sorry Miss Marianne was not here. Remember me kindly to her. La! if you have not got your spotted muslin on!—I wonder you was not afraid of its being torn.”"
Jane Austen,"The Miss Dashwoods had now been rather more than two months in town, and Marianne’s impatience to be gone increased every day. She sighed for the air, the liberty, the quiet of the country; and fancied that if any place could give her ease, Barton must do it. Elinor was hardly less anxious than herself for their removal, and only so much less bent on its being effected immediately, as that she was conscious of the difficulties of so long a journey, which Marianne could not be brought to acknowledge. She began, however, seriously to turn her thoughts towards its accomplishment, and had already mentioned their wishes to their kind hostess, who resisted them with all the eloquence of her good-will, when a plan was suggested, which, though detaining them from home yet a few weeks longer, appeared to Elinor altogether much more eligible than any other. The Palmers were to remove to Cleveland about the end of March, for the Easter holidays; and Mrs. Jennings, with both her friends, received a very warm invitation from Charlotte to go with them. This would not, in itself, have been sufficient for the delicacy of Miss Dashwood;—but it was inforced with so much real politeness by Mr. Palmer himself, as, joined to the very great amendment of his manners towards them since her sister had been known to be unhappy, induced her to accept it with pleasure."
Jane Austen,"“The cruelty, the impolitic cruelty,” he replied, with great feeling, “of dividing, or attempting to divide, two young people long attached to each other, is terrible. Mrs. Ferrars does not know what she may be doing—what she may drive her son to. I have seen Mr. Ferrars two or three times in Harley Street, and am much pleased with him. He is not a young man with whom one can be intimately acquainted in a short time, but I have seen enough of him to wish him well for his own sake, and as a friend of yours, I wish it still more. I understand that he intends to take orders. Will you be so good as to tell him that the living of Delaford, now just vacant, as I am informed by this day’s post, is his, if he think it worth his acceptance; but _that_, perhaps, so unfortunately circumstanced as he is now, it may be nonsense to appear to doubt; I only wish it were more valuable. It is a rectory, but a small one; the late incumbent, I believe, did not make more than 200£ per annum, and though it is certainly capable of improvement, I fear, not to such an amount as to afford him a very comfortable income. Such as it is, however, my pleasure in presenting it to him, will be very great. Pray assure him of it.”"
Jane Austen,"Elinor had just been congratulating herself, in the midst of her perplexity, that however difficult it might be to express herself properly by letter, it was at least preferable to giving the information by word of mouth, when her visitor entered, to force her upon this greatest exertion of all. Her astonishment and confusion were very great on his so sudden appearance. She had not seen him before since his engagement became public, and therefore not since his knowing her to be acquainted with it; which, with the consciousness of what she had been thinking of, and what she had to tell him, made her feel particularly uncomfortable for some minutes. He too was much distressed; and they sat down together in a most promising state of embarrassment.—Whether he had asked her pardon for his intrusion on first coming into the room, he could not recollect; but determining to be on the safe side, he made his apology in form as soon as he could say any thing, after taking a chair."
Jane Austen,"“You would not have gone, however,” said Elinor, recovering herself, and determined to get over what she so much dreaded as soon as possible, “without receiving our good wishes, even if we had not been able to give them in person. Mrs. Jennings was quite right in what she said. I have something of consequence to inform you of, which I was on the point of communicating by paper. I am charged with a most agreeable office (breathing rather faster than usual as she spoke.) Colonel Brandon, who was here only ten minutes ago, has desired me to say, that understanding you mean to take orders, he has great pleasure in offering you the living of Delaford now just vacant, and only wishes it were more valuable. Allow me to congratulate you on having so respectable and well-judging a friend, and to join in his wish that the living—it is about two hundred a-year—were much more considerable, and such as might better enable you to—as might be more than a temporary accommodation to yourself—such, in short, as might establish all your views of happiness.”"
Jane Austen,"Her own happiness, and her own spirits, were at least very certain; and she joined Mrs. Jennings most heartily in her expectation of their being all comfortably together in Delaford Parsonage before Michaelmas. So far was she, at the same time, from any backwardness to give Elinor that credit which Edward _would_ give her, that she spoke of her friendship for them both with the most grateful warmth, was ready to own all their obligation to her, and openly declared that no exertion for their good on Miss Dashwood’s part, either present or future, would ever surprise her, for she believed her capable of doing any thing in the world for those she really valued. As for Colonel Brandon, she was not only ready to worship him as a saint, but was moreover truly anxious that he should be treated as one in all worldly concerns; anxious that his tithes should be raised to the utmost; and secretly resolved to avail herself, at Delaford, as far as she possibly could, of his servants, his carriage, his cows, and his poultry."
Jane Austen,"It was now above a week since John Dashwood had called in Berkeley Street, and as since that time no notice had been taken by them of his wife’s indisposition, beyond one verbal enquiry, Elinor began to feel it necessary to pay her a visit.—This was an obligation, however, which not only opposed her own inclination, but which had not the assistance of any encouragement from her companions. Marianne, not contented with absolutely refusing to go herself, was very urgent to prevent her sister’s going at all; and Mrs. Jennings, though her carriage was always at Elinor’s service, so very much disliked Mrs. John Dashwood, that not even her curiosity to see how she looked after the late discovery, nor her strong desire to affront her by taking Edward’s part, could overcome her unwillingness to be in her company again. The consequence was, that Elinor set out by herself to pay a visit, for which no one could really have less inclination, and to run the risk of a tête-à-tête with a woman, whom neither of the others had so much reason to dislike."
Jane Austen,"“Yes; once, while she was staying in this house, I happened to drop in for ten minutes; and I saw quite enough of her. The merest awkward country girl, without style, or elegance, and almost without beauty. I remember her perfectly. Just the kind of girl I should suppose likely to captivate poor Edward. I offered immediately, as soon as my mother related the affair to me, to talk to him myself, and dissuade him from the match; but it was too late _then_, I found, to do any thing, for unluckily, I was not in the way at first, and knew nothing of it till after the breach had taken place, when it was not for me, you know, to interfere. But had I been informed of it a few hours earlier, I think it is most probable that something might have been hit on. I certainly should have represented it to Edward in a very strong light. ‘My dear fellow,’ I should have said, ‘consider what you are doing. You are making a most disgraceful connection, and such a one as your family are unanimous in disapproving.’ I cannot help thinking, in short, that means might have been found. But now it is all too late. He must be starved, you know, that is certain; absolutely starved.”"
Jane Austen,"Elinor had seen so little of Mr. Palmer, and in that little had seen so much variety in his address to her sister and herself, that she knew not what to expect to find him in his own family. She found him, however, perfectly the gentleman in his behaviour to all his visitors, and only occasionally rude to his wife and her mother; she found him very capable of being a pleasant companion, and only prevented from being so always, by too great an aptitude to fancy himself as much superior to people in general, as he must feel himself to be to Mrs. Jennings and Charlotte. For the rest of his character and habits, they were marked, as far as Elinor could perceive, with no traits at all unusual in his sex and time of life. He was nice in his eating, uncertain in his hours; fond of his child, though affecting to slight it; and idled away the mornings at billiards, which ought to have been devoted to business. She liked him, however, upon the whole, much better than she had expected, and in her heart was not sorry that she could like him no more;—not sorry to be driven by the observation of his Epicurism, his selfishness, and his conceit, to rest with complacency on the remembrance of Edward’s generous temper, simple taste, and diffident feelings."
Jane Austen,"Of Edward, or at least of some of his concerns, she now received intelligence from Colonel Brandon, who had been into Dorsetshire lately; and who, treating her at once as the disinterested friend of Mr. Ferrars, and the kind confidante of himself, talked to her a great deal of the parsonage at Delaford, described its deficiencies, and told her what he meant to do himself towards removing them.—His behaviour to her in this, as well as in every other particular, his open pleasure in meeting her after an absence of only ten days, his readiness to converse with her, and his deference for her opinion, might very well justify Mrs. Jennings’s persuasion of his attachment, and would have been enough, perhaps, had not Elinor still, as from the first, believed Marianne his real favourite, to make her suspect it herself. But as it was, such a notion had scarcely ever entered her head, except by Mrs. Jennings’s suggestion; and she could not help believing herself the nicest observer of the two;—she watched his eyes, while Mrs. Jennings thought only of his behaviour;—and while his looks of anxious solicitude on Marianne’s feeling, in her head and throat, the beginning of a heavy cold, because unexpressed by words, entirely escaped the latter lady’s observation;—_she_ could discover in them the quick feelings, and needless alarm of a lover."
Jane Austen,"Two delightful twilight walks on the third and fourth evenings of her being there, not merely on the dry gravel of the shrubbery, but all over the grounds, and especially in the most distant parts of them, where there was something more of wildness than in the rest, where the trees were the oldest, and the grass was the longest and wettest, had—assisted by the still greater imprudence of sitting in her wet shoes and stockings—given Marianne a cold so violent as, though for a day or two trifled with or denied, would force itself by increasing ailments on the concern of every body, and the notice of herself. Prescriptions poured in from all quarters, and as usual, were all declined. Though heavy and feverish, with a pain in her limbs, and a cough, and a sore throat, a good night’s rest was to cure her entirely; and it was with difficulty that Elinor prevailed on her, when she went to bed, to try one or two of the simplest of the remedies."
Jane Austen,"The next day produced little or no alteration in the state of the patient; she certainly was not better, and, except that there was no amendment, did not appear worse. Their party was now farther reduced; for Mr. Palmer, though very unwilling to go as well from real humanity and good-nature, as from a dislike of appearing to be frightened away by his wife, was persuaded at last by Colonel Brandon to perform his promise of following her; and while he was preparing to go, Colonel Brandon himself, with a much greater exertion, began to talk of going likewise.—Here, however, the kindness of Mrs. Jennings interposed most acceptably; for to send the Colonel away while his love was in so much uneasiness on her sister’s account, would be to deprive them both, she thought, of every comfort; and therefore telling him at once that his stay at Cleveland was necessary to herself, that she should want him to play at piquet of an evening, while Miss Dashwood was above with her sister, &c. she urged him so strongly to remain, that he, who was gratifying the first wish of his own heart by a compliance, could not long even affect to demur; especially as Mrs. Jennings’s entreaty was warmly seconded by Mr. Palmer, who seemed to feel a relief to himself, in leaving behind him a person so well able to assist or advise Miss Dashwood in any emergence."
Jane Austen,"Two days passed away from the time of Mr. Palmer’s departure, and her situation continued, with little variation, the same. Mr. Harris, who attended her every day, still talked boldly of a speedy recovery, and Miss Dashwood was equally sanguine; but the expectation of the others was by no means so cheerful. Mrs. Jennings had determined very early in the seizure that Marianne would never get over it, and Colonel Brandon, who was chiefly of use in listening to Mrs. Jennings’s forebodings, was not in a state of mind to resist their influence. He tried to reason himself out of fears, which the different judgment of the apothecary seemed to render absurd; but the many hours of each day in which he was left entirely alone, were but too favourable for the admission of every melancholy idea, and he could not expel from his mind the persuasion that he should see Marianne no more."
Jane Austen,"_He_, meanwhile, whatever he might feel, acted with all the firmness of a collected mind, made every necessary arrangement with the utmost despatch, and calculated with exactness the time in which she might look for his return. Not a moment was lost in delay of any kind. The horses arrived, even before they were expected, and Colonel Brandon only pressing her hand with a look of solemnity, and a few words spoken too low to reach her ear, hurried into the carriage. It was then about twelve o’clock, and she returned to her sister’s apartment to wait for the arrival of the apothecary, and to watch by her the rest of the night. It was a night of almost equal suffering to both. Hour after hour passed away in sleepless pain and delirium on Marianne’s side, and in the most cruel anxiety on Elinor’s, before Mr. Harris appeared. Her apprehensions once raised, paid by their excess for all her former security; and the servant who sat up with her, for she would not allow Mrs. Jennings to be called, only tortured her more, by hints of what her mistress had always thought."
